2026-02-21 10:45:42,367 | INFO | app | 🚀 Application startup complete
2026-02-21 11:18:44,076 | INFO | app | 🚀 Application startup complete
2026-02-21 11:20:22,065 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:20:26,442 | INFO | app | 🚀 Application startup complete
2026-02-21 11:20:36,419 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:20:52,360 | INFO | app | 🚀 Application startup complete
2026-02-21 11:21:51,688 | INFO | app | ➡️  GET http://127.0.0.1:8000/docs
2026-02-21 11:21:51,694 | INFO | app | ⬅️  Status: 200
2026-02-21 11:21:53,784 | INFO | app | ➡️  GET http://127.0.0.1:8000/openapi.json
2026-02-21 11:21:53,867 | INFO | app | ⬅️  Status: 200
2026-02-21 11:22:39,962 | INFO | app | ➡️  GET http://127.0.0.1:8000/docs
2026-02-21 11:22:39,966 | INFO | app | ⬅️  Status: 200
2026-02-21 11:22:40,654 | INFO | app | ➡️  GET http://127.0.0.1:8000/openapi.json
2026-02-21 11:22:40,655 | INFO | app | ⬅️  Status: 200
2026-02-21 11:23:52,425 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/forgot-password
2026-02-21 11:26:44,395 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:26:49,058 | INFO | app | 🚀 Application startup complete
2026-02-21 11:28:15,085 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:29:00,232 | INFO | app | 🚀 Application startup complete
2026-02-21 11:30:03,918 | INFO | app | ➡️  GET http://127.0.0.1:8000/auth/register
2026-02-21 11:30:03,920 | INFO | app | ⬅️  Status: 405
2026-02-21 11:30:04,024 | INFO | app | ➡️  GET http://127.0.0.1:8000/favicon.ico
2026-02-21 11:30:04,025 | INFO | app | ⬅️  Status: 404
2026-02-21 11:30:36,092 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 11:32:34,663 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:32:39,239 | INFO | app | 🚀 Application startup complete
2026-02-21 11:33:10,795 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 11:34:52,644 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 11:37:52,751 | WARNING | app | 🛑 Application shutting down
2026-02-21 11:40:37,585 | INFO | app | 🚀 Application startup complete
2026-02-21 11:41:01,959 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 11:48:30,726 | INFO | app | 🚀 Starting application...
2026-02-21 11:48:30,744 | INFO | app | ✅ Database file found.
2026-02-21 11:48:30,881 | INFO | app | 🔥 Tables checked/created successfully
2026-02-21 11:48:30,884 | WARNING | app | 🛑 Application shutting down
2026-02-21 17:31:34,911 | INFO | app | 🚀 Starting application...
2026-02-21 17:31:34,932 | INFO | app | ✅ Database file found.
2026-02-21 17:31:34,945 | INFO | app | 🔥 Tables checked/created successfully
2026-02-21 18:24:00,820 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 18:25:00,840 | WARNING | app | 🛑 Application shutting down
2026-02-21 18:25:59,318 | INFO | app | 🚀 Starting application...
2026-02-21 18:25:59,338 | INFO | app | ✅ Database file found.
2026-02-21 18:25:59,352 | INFO | app | 🔥 Tables checked/created successfully
2026-02-21 18:26:07,688 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/register
2026-02-21 19:33:41,230 | WARNING | app | 🛑 Application shutting down
2026-02-21 23:51:01,153 | INFO | app | 🚀 Starting application...
2026-02-21 23:51:01,155 | INFO | app | ✅ Database file found.
